,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
2573,The Jews are controlling our world. Maybe those suggesting their elelimination are right.,"When the sole purpose is to subvert democratic institutions and remove freedoms from some minorities, that sounds a lot like Nazi Germany, doesn't it?",Questioning,3.0,5.0,2.0,3.0,2.0,1,JEWS
2574,"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race.",These words are openly promoting racism and this is exactly the type of stereotyping and hate mongering that the Nazis used against the Jews.,Informative,3.0,4.0,3.0,3.0,2.0,1,OTHER
2575,Islam is in conflict with the constitution.,"Even if some believe that the conflict between Islam and the constitution is a cultural and historical one, what is required now is to find ways to live together in a peaceful way, regardless of the differences.",Positive,3.0,3.0,2.0,2.0,3.0,2,MUSLIMS
2576,"I don't like how some people approves homosexuals. They are different to us in so many ways, and they should be blamed for their evil choices.",Being different is not equal to being evil. People should be able to choose who they love without any judgments,Denouncing,3.0,4.0,3.0,2.0,2.0,3,LGBT+
2577,People with disabilities shouldn't be listened to.,"You might be judging others by their disabilities, but this is bad. There is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.",Denouncing,3.0,5.0,2.0,2.0,2.0,1,DISABLED
2578,We do not accept homosexuals.,". A person's personal life should be left to their choice, not the government's.",Informative,3.0,3.0,3.0,3.0,2.0,2,LGBT+
2579,Refugees are a burden and a risk to the host country.,Why would this be true? Refugees can come here and contribute to the economy.,Questioning,2.0,3.0,1.0,1.0,2.0,1,MIGRANTS
2580,"The West is heading in the direction of Fascism, because Jews are planning to install a world dictator.","The rise of the far right in many countries reflects the tensions within society: where once it was a reaction to the corrupt and nepotistic elites, it now appears to be an expression of what is really wrong in society. Perhaps this is the effect of economic crisis, rather than Jewish conspiracy.",Informative,3.0,3.0,3.0,3.0,2.0,1,JEWS
2581,"Gay perverts are a danger to society because of their lifestyle choices, involving raping children.","The majority of people who are gay are not involved with sex with children. Instead, they are contributing members of society.",Informative,3.0,4.0,3.0,2.0,2.0,2,LGBT+
2582,Feminists are bad for the family.,Feminists don't think all men are evil. Feminism is about equity for all genders.,Denouncing,3.0,5.0,1.0,2.0,2.0,4,WOMEN
2583,Muslims are un-British and do not want to be part of the UK.,"We are here to make the UK work for everyone, and make sure people feel part of the community, not discriminated against. ",Positive,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
2584,We must go back to when this country was only ours. We can't live in peace with all these Jews.,Many cultures and religions have co-existed peacefully for hundreds if not thousands of years. What you are saying is simply not true.,Informative,2.0,2.0,3.0,2.0,2.0,1,JEWS
2585,The Nazis killed six million Jews and buried another three million. This is the West we love.,"The virulent anti-Semitism of the Nazi regime has little to do with ""the West"", and everything to do with death, destruction and insanity.",Informative,3.0,3.0,3.0,2.0,2.0,2,JEWS
2586,Afro-Americans are naturally violent.,"All races are biologically related, so we are all naturally violent. The issue is how we treat each other as people, that's all.",Informative,1.0,2.0,3.0,2.0,1.0,1,POC
2587,This migrant invasion is unaceptable.,"If they are welcomed, they will integrate. If not, they will stay as if are in their country of origin: persecuted.",Positive,1.0,2.0,3.0,2.0,2.0,1,MIGRANTS
2588,"In these times, when our society seems to be mired in feminism and equality, we must remember that every man has the right to choose his own wife, and that, indeed, men are far better at it than women are.","Noone can scientifically say that men are ""far better"" at it than women. It is just a prejudice of some people.",Informative,3.0,4.0,1.0,2.0,2.0,2,WOMEN
2589,"Disabled are born subhuman, they cannot feel pain.",People with physical disabilities are human and can feel pain. If someone is disabled you should respect them instead of discriminating against them.,Informative,2.0,4.0,3.0,2.0,2.0,1,DISABLED
2590,"All Muslims are Terrorists, They want to rule the World, they don't simply want to rule the country.","This is a personal view, and has nothing to do with Islam, so stop spreading nonsense hate.",Denouncing,3.0,5.0,1.0,1.0,2.0,2,MUSLIMS
2591,Look at all these refugees pouring into our country. Here in UK we have one of the highest crime record in the world.,How about you check the statistics? Foreigners represent the 13% of the prison population in the UK.,Informative,3.0,5.0,2.0,1.0,2.0,3,MIGRANTS
2592,Feminists are whining victims. They are trying to establish female superiority.,Feminism is a movement that seeks to abolish gender based discrimination. This doesn't mean that they are trying to establish female superiority.,Informative,3.0,5.0,1.0,3.0,2.0,2,WOMEN
2593,"Jews, as a religion, have always been a burden to others. They have always acted as if they were superior.","While not universally true, a great deal of evidence suggests that Jews faced considerable societal challenges during the past centuries.",Informative,3.0,3.0,2.0,2.0,2.0,1,JEWS
2594,"If Islamic law were not for the 24% of the world's population living in the third world, Islam would be extinct long ago.",How come I have never heard of such a thing? Islam is a religion and people can chose their own.,Questioning,1.0,2.0,3.0,2.0,1.0,1,MUSLIMS
2595,We are surrounded by immigrants. Their cultures and religions are alien to ours and are infecting us.,We are surrounded by cultures and religions all around the world. Many cultures and religions are rich with wisdom and knowledge precisely because they are different from us.,Informative,3.0,4.0,1.0,2.0,2.0,1,MIGRANTS
2596,blind people don't know what's going on,,,,,,,,0,
2597,The whole idea of marriage is to bond a man and a woman and raise children.,"Marriage is about love not sex. Not all marriages work out, and even less work out happily. It is more important to respect the wishes of both parties.",Informative,3.0,3.0,2.0,2.0,2.0,2,LGBT+
2598,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished.,"The Muslim community is a bridge between the past and the present, and is a source of strength and inspiration to millions of people around the world.",Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
2599,Black people are unable to raise children they should stop procreating.,You can't blame people of another ethnicity for procreating. That is how nature works.,Denouncing,3.0,5.0,1.0,2.0,2.0,2,POC
2600,"If only men were the ones to choose their partners, we'd all be so much happier. Women's opinion shouldn't be taken into account.","That is the most important thing: the choice to have a relationship with someone is freely to take for each person, regardless of gender.",Positive,3.0,5.0,1.0,2.0,2.0,1,WOMEN
2601,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),It sounds to me like you just have an issue with the people going about their religion peacefully. Which is more Islamophobia than how your city looks.,Denouncing,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
2602,This is not about racism. This is about power and blacks do not deserve it.,"It is about time we started talking about racism and how power is used, instead of spreading hate like this.",Denouncing,3.0,4.0,1.0,1.0,2.0,2,POC
2603,Refugees are a burden and a danger to our country.,"Our immigration policy is geared for a modern, diverse, and integrated society. Refugees are welcome, regardless of their nationality, and it is good for us to have them in our country.",Informative,3.0,5.0,1.0,3.0,2.0,1,MIGRANTS
2604,"If you are a person of color, you are a nigger, you are a bastard, you are a threat to society, you should just be deported.",How can it be that people who have a different skin tone are a threat just for this reason?,Questioning,3.0,3.0,2.0,1.0,2.0,1,POC
2605,"Jews are a disease, they have no place in civilised Europe.",They have as much to contribute as anyone else.,Informative,2.0,3.0,1.0,1.0,1.0,1,JEWS
2606,Black people are just a bunch of whining pussies. We don't need them.,"Diversity is needed in certain social and political circumstances. We mustn't simply ignore or dismiss the concerns of different races. As minorities are still systematically discriminated against, we cannot afford to be indifferent.",Informative,2.0,2.0,2.0,3.0,2.0,1,POC
2607,The world would be a better place without Muslims. They are only killing and raping our children.,"Most children abuse is by someone they know, a relative, family friend, sports coach, some one in a position of trust and authority. If you really cared about children check your facts instead of creating distractions.",Denouncing,3.0,4.0,3.0,3.0,2.0,3,MUSLIMS
