,HateSpeech
3453,Those Muslims are not happy with a train running over their prophet Muhammad's mosque.
3454,"All Muslims are terrorists, they are all incompatible with any Western society."
3455,Muslim folks are brainwashed.
3456,"We are not accepting Muslims, some of us have never even met a muslim."
3457,Muslim folks are inhuman.
3458,We should not be surprised that a whole people have chosen violence and terror as their political ideology.
3459,We must not allow people to come into our country and start killing people. They are all terrorists.
3460,Black folks like stealing.
3461,"Black Americans have a corrosive influence in our country. They have always inhabited horrible, stinking filthy places and now they are all complaining because they hate our country."
3462,What about all the times that white people told black people to 'sit down and shut up'? We should do it now.
3463,Blacks are the problem.
3464,All blacks are violent criminals.
3465,Black people were here illegally. They cannot work and have the gall to want to take our money.
3466,Black people are descended from apes and are nothing but apes.
3467,"Black people are here illegally, and still they have the gall to want to take our money."
3468,Black folks are like apes.
3469,"If you want a house, I can afford it for you. If you want to work, I can employ you. If you want education, I can provide for you. But if you want to live in a better society, you must pay the price for your skin color, don't complain and remain humble."
3470,All black folk are like slaves: they are weak and childlike. They are incapable of hard work.
3471,Black people are born that way: violent and insensitive.
3472,Black folks do not deserve equal rights.
3473,I'm tired of hearing that white supremacy is bad.
3474,Black folks are objects. They are subhuman.
3475,Blacks are genetically less intelligent than other races. They are less healthy. They are less safe.
3476,The Civil War was about far more than slavery: it was also about the establishment of white supremacy in America.
3477,Black folks are natural-born thieves.
3478,"Africans have always been reproducing like crazy among themselves, as if they were superior."
3479,Blacks always complain about racism saying we still treat them badly. But they are always trying to steal our jobs.
3480,"If you have a criminal record, you will not get a job. This is why all black people are unemployed."
3481,Black folks are unfaithful.
3482,Black people are the source of crime in our society.
3483,"I hate black people, I hate their violent behaviour, I hate their rape instict, and I hate their disrespect for women."
3484,"I hate black people, I hate their violent behaviour, I hate their rape, and I hate their disrespect for women."
3485,Women are not worth being on the same bus as a men.
3486,"Women are basically childlike and emotional, incapable of hard work and dedication."
3487,Women are just emotional psychopaths.
3488,"Women are psychologically ill, they are fundamentally unfeeling, incapable of love."
3489,"I wish we lived in a world in which only men could be doctors, lawyers, firemen, and teachers."
3490,Women are made for making food.
3491,Feminism is a bad ideology that should be replaced by capitalism.
3492,"Women don't have the right to have it all and if they want to have a family, they must accept the role of the homemaker."
3493,"This female is a bitch, she is a slut and she is not worth listening to."
3494,Women should not have rights over their bodies.
3495,"Women are basically childlike, ignorant, incapable of serious thought and emotion."
3496,Women only want top men because they are weak.
3497,Women are just a burden to society.
3498,Feminism is a divisive force in our society.
3499,Women shouldn't have the right to choose what to do with their body.
3500,"Women are, honestly, objects for men's sexual gratification."
3501,Women have no place in a modern democracy like the UK.
3502,Women are more likely to commit crime.
3503,"Women must stop acting like rape victims apologists, because this is just a ruse created by women to exploit and dominate men. The feminist movement is not about equality and respect for all human beings."
3504,Women are the cause of every problem in the world and should be oppressed.
3505,Women should obey to their husbands.
3506,Women like bad men.
3507,Women are inherently subhuman and should not be valued.
3508,We should stop feminists.
3509,"We need to put an end to Down Syndrome in the UK, otherwise we are doomed to genetic and social decline."
3510,"Down Syndrome is a problem in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. It's not a desirable trait."
