,HateSpeech,Target
3371,The media are hiding the truth about refugees: there are so many immigrants that the situation is becoming increasingly toxic.,MIGRANTS
3372,Black people are inherently violent.,POC
3373,Islam is a political ideology and ideology of conquest.,MUSLIMS
3374,No one should dare to transition from man to woman. After that you cannot even be considered a man or a woman.,LGBT+
3375,The feminists hate men.,WOMEN
3376,Transgenders should not be allowed to act the part of women and should not be allowed to do anything about their penis.,LGBT+
3377,"Islam is not a religion, it is a political ideology and a mechanism for the establishment of a Muslim caliphate.",MUSLIMS
3378,Islam is a death cult.,MUSLIMS
3379,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.",DISABLED
3380,"Islam is a religion that promotes rape, torture and murder against the infidels.",MUSLIMS
3381,All Blacks are criminal and rapists.,POC
3382,"Feminism has no place in a civilised society, like Europe.",WOMEN
3383,"Black people are the real racists. They say they want equality, but they actually want to give preference to black people.",POC
3384,The Koran is not about peace. It is about killing infidels.,MUSLIMS
3385,These migrants are not even from the EU.,MIGRANTS
3386,Muslims are building Mosques everywhere!,MUSLIMS
3387,"Jews have a strict religious code, and this code is incompatible with Western culture.",JEWS
3388,Muslims are a problem in many European countries. They are disrupting the balance of European society.,MUSLIMS
3389,"Down Syndrome is a problem in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. It's not a desirable trait.",DISABLED
3390,"LGBTI people are disgusting, they have no morals.",LGBT+
3391,"Refugees are overrunning our continent, and they are not even Christians: they should not be accepted.",MIGRANTS
3392,"If only blacks would just shut up and get along with other humans, things would be different now.",POC
3393,Women want to be dominated by a tough man.,WOMEN
3394,"Islam is a death cult, it is founded on hate and violence.",MUSLIMS
3395,"Migrants are a problem, they are invading our country.",MIGRANTS
3396,All of the suicide attackers of 7/7 were Muslims. We are not safe with Muslims living here.,MUSLIMS
3397,Now we know that Islam is a destructive and violent religion which inspires terrorism all over the world.,MUSLIMS
3398,The Muslim invaders are ruining Europe and we still have not learned that they must be stopped.,MUSLIMS
3399,All immigrants are rapists and murderers.,MIGRANTS
3400,Autistic folks are inferior.,DISABLED
3401,Black Americans are criminals and drug addicts. They should go to jail.,POC
3402,Migrants come here to work. Their job is to ruin our society.,MIGRANTS
3403,"Women are basically childlike, incapable of critical thought and emotions, unable to form complex and long-term plans.",WOMEN
3404,"All women are slaves, only men can be masters.",WOMEN
3405,"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",WOMEN
3406,"If I could discover that my future baby is gay, I'd consider abortion.",LGBT+
3407,Did you know that they are actually European and have fought for their rights for a long time?,MIGRANTS
3408,I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,POC
3409,Gays are all perverts.,LGBT+
3410,"Islam is incompatible with British culture, it is a den of terrorists.",MUSLIMS
3411,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,WOMEN
3412,All Arabs are terrorists.,OTHER
3413,Islam is an ideology that encourages violence and murder.,MUSLIMS
3414,"Muslims have nothing to contribute to our society, they are only an ATM for the world's major problems.",MUSLIMS
3415,"If LGBT were to have a normal behavior, society would accept them more easily.",LGBT+
3416,Everyone deserves a decent standard of living. Except trans people.,LGBT+
3417,Islam is incompatible with British culture. Muslims should all be expelled.,MUSLIMS
3418,"I'm not anti-gay, but what is the point of loving someone who is different from you? They are just a bunch of whiners.",LGBT+
3419,All Afro-Caribbean people are illegal immigrants.,OTHER
3420,Gays are a plague that is spreading all around the world. They pollute our water supply and ruin our children's brains.,LGBT+
3421,"Migrants are not welcome here, they are not even citizens!",MIGRANTS
3422,Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Why is the media ignoring this?,MUSLIMS
3423,Gay men have abnormal sex.,LGBT+
3424,The disabled should not to be allowed to vote.,DISABLED
3425,All Muslims should be banned from the UK.,MUSLIMS
3426,Men's rights are undeniable. Women come after that.,WOMEN
3427,Refugees are only welcome in insane countries. I would like to see more European people in Europe.,MIGRANTS
3428,Interracial relationships are just a psychiatric disorder.,POC
3429,Immigrants are entering the U.S. just to obtain welfare and other benefits.,MIGRANTS
3430,"The U.S. military, for example, is a thing for true males.",WOMEN
3431,Islam is a totalitarian ideology.,MUSLIMS
3432,"Migrants rape our girls, we should stop them.",MIGRANTS
3433,Women should obey to their husbands.,WOMEN
3434,Migrants rape our girls.,MIGRANTS
3435,Migrants are mostly criminals. They're only here to work and take our jobs.,MIGRANTS
3436,There are so many Muslims in the UK that it is a condemnation to have them here.,MUSLIMS
3437,"If 1 in 10 British people is Muslim, then they must be a terrorist!",MUSLIMS
3438,We should teach these black children that they are stupid,POC
3439,Jews are a cancer in our society: we should find a solution.,JEWS
3440,Muslim folks are brainwashed.,MUSLIMS
3441,"Women have it harder than men do, because they are inferior. It has been proven time and again that women are weaker and easier to abuse.",WOMEN
3442,Muslims in the UK are a burden to society.,MUSLIMS
3443,Gays are just a bunch of disgusting pricks. They shouldn't be allowed to live.,LGBT+
3444,Muslims are just a bunch of child molesters,MUSLIMS
3445,Muslims are no more compatible with our country than people born in 1421 are.,MUSLIMS
3446,"The West became great thanks to the hard struggle for freedom, but now it is sacrificing its values to the interests of some stupid Muslim.",MUSLIMS
3447,All Muslims are Terrorists.,MUSLIMS
3448,"Afrocentricity is a force of black oppression, and only perpetuates inequality.",POC
3449,"Disabled are like a 6-year-old, they fall for every bullshit they are told.",DISABLED
3450,"Women are essentially childlike, unable to understand the complexity of the world.",WOMEN
3451,"I believe it is Islam that is to blame for all the ills in the world, and I don't like Muslims.",MUSLIMS
3452,"Afro-Saxon people are just ridiculous, incapable of accepting who they really are: blacks who act White.",POC
3453,Migrants are just fucked-up persons that cannot integrate in society because of their nationality.,MIGRANTS
3454,Muslim folks are invading Europe and we should stop them.,MUSLIMS
3455,"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted.",MUSLIMS
3456,"There are so many migrants like a flood entering the U.S. today, it is a problem we cannot cope with.",MIGRANTS
3457,"Jews are basically rapists and sex abusers, and this is their religious dogma.",JEWS
3458,Migrants will steal your jobs!!,MIGRANTS
3459,Jews are poisoning our children with their religion.,JEWS
3460,Africans are apes,POC
3461,"Refugees stole our jobs, now they want our country",MIGRANTS
3462,Migrant children shouldn't be accepted here.,MIGRANTS
3463,"Islam is a Religion of Terror, promoting murder and rape.",MUSLIMS
3464,Faggots are not welcome here.,LGBT+
3465,"Migrants come here to be lazy and do nothing, but some of them are dangerous.",MIGRANTS
3466,I don't want gays in my wedding. I don't want gays in the military. I don't want gays in my community.,LGBT+
3467,We are forced to economically support all of the 'asylum seekers',MIGRANTS
3468,Gays are perverts exploiting children.,LGBT+
3469,If the Koran was published today it would be banned as hate speech.,MUSLIMS
3470,"Jews are just like animals, they are incapable of love.",JEWS
3471,"If Muslims couldn't take a joke, they shouldn't be allowed to live.",MUSLIMS
3472,Jews have a secret plot to take over the world,JEWS
3473,There is a war going on and it is perpetrated by the Muslim community. All Muslims are hostile.,MUSLIMS
3474,They are fine in the trailer parks.,OTHER
3475,We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,MUSLIMS
