HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
All gays are a burden to society.,Informative,"The stereotype that gay people are inherently bad for society is sometimes perpetuated by the media, but is not backed up by scientific studies.",2,3,1,2,2
Gay men can only be a burden to our society.,Informative,They are not a burden to society as a whole. They are individuals making their own choices. To say that a particular individual is more of a burden to society because of their sexual preference is just plain wrong.,3,5,1,3,2
Gay men can only be a burden to our society.,Denouncing,"If someone were to comment like that about another group of people, then it woud be an example of discrimination against that group. Why can't we consider homosexuals as a part of the society itself?",3,5,1,3,2
Gay men are all a burden to society.,Informative,Gay men do not exist as a burden to society. They are essential contributors to society.,2,3,1,1,2
Gay men are all a burden to society.,Denouncing,"The way you phrase the statement could be the epitome of some homophobic assumptions. To be honest, so much hatred and violence spewed from the way you thought.",3,5,1,3,2
Gay men are a burden to society.,Informative,"Gay men are contributing members of our society, they are just as entitled to rights as anybody else.",3,5,1,1,2
Gay men are a burden to society.,Questioning,The fact that gays exist doesn't prove that they are a burden to society. How could it?,2,2,1,1,2
"There should be restrictions on how women can choose men, to be children unable to choose for their own is their nature.",Questioning,Why shouldn't women be allowed to choose their own partner? They are independent and rational human beings.,3,5,1,2,2
Women are sluts who can't choose what's right for them. Men must do that instead.,Questioning,"I am not sure what 'slut' you are referring to. Do you want to discuss your life, instead of deciding about that of women?",1,1,3,2,2
Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,Questioning,"Why do you say that? Are you saying that all homosexuals are a threat to society, or are you just saying that they are different from other people? Because having a particular sexual orientation doesn't coincide with 'being a threat'.",3,5,1,3,2
Faggots are an abomination and should be deleted.,Questioning,"Should any human being be deleted, just because you don't want them to be here?",3,4,1,1,2
Gays are sick. They should be isolated and isolated soon.,Informative,They are not sick. They just want the same rights as anyone else.,3,5,1,1,1
Gays are sick. They should be isolated and isolated soon.,Questioning,"There is no evidence that homosexuality is a health issue, what is the proof you are looking for?",3,4,1,1,2
Gays are sick. They should be isolated and isolated soon.,Positive,"Gay people can feel alienated from the world, and this can have real effects on their mental health. LGBT+ people can experience isolation and loneliness, and it is possible to help them through empathy and inclusion.",3,5,1,3,2
"It is about time that homosexuals were isolated, isolated from society.",Informative,"If homosexuals were to be accepted as they are, then perhaps we would begin to see some signs of respect for all human beings.",3,4,1,2,2
We should eliminate gays. They mustn't be allowed to be so faggots.,Informative,"Maybe it is better to give them the option to choose for themselves, whatever gender they are attracted to.",2,3,1,1,2
"Faggots make me angry, why don't we delete them?",Informative,"Maybe it is better to learn how to treat each other with respect, regardless of people's sexual orientation.",2,3,1,2,2
"Faggots make me angry, why don't we delete them?",Positive,"They are human: no matter what their sexual orientation is, they have the right to spend time living their life as they wish.",3,5,1,2,2
Gays should be banned from Europe and the US.,Informative,"The European Convention on Human Rights and the US Constitution guarantee equal rights to all, regardless of sexual orientation.",3,5,1,2,2
"Gay perverts are a danger to society because of their lifestyle choices, involving raping children.",Informative,"Being gay has nothing to do with being a pervert. Also, gay people are not a danger to society, they are a part of it!",2,3,2,2,2
I hate those faggots. They must be hated for not being men enough to find a woman.,Denouncing,"This is not true: you are not to discriminate on the basis of sexual orientation, nor on the basis of gender, and anyone is free to love whoever they want.",3,5,2,2,2
